article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
46662,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/f/ff/Verynotdarkverse.png/revision/latest?cb=20240811045738,"{""\n\n"": 1}",1
46662,1,EUSI,102,106,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
46662,1,Finality Index,111,125,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
46662,1,FOEI,132,136,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
46662,1,Multiverse,247,257,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""Multiverse"": 1}",1
46662,3,The Ripoff,46,56,internal,https://alldimensions.fandom.com/wiki/The_Ripoff,"{""The Ripoff"": 1}",1
46662,3,Lightverse,66,76,internal,https://alldimensions.fandom.com/wiki/Lightverse,"{""Lightverse"": 1}",1
46662,3,Lightverse,66,76,internal,https://alldimensions.fandom.com/wiki/Lightverse,"{""Lightverse"": 1}",1
46662,5,Lightverse,47,57,internal,https://alldimensions.fandom.com/wiki/Lightverse,"{""Lightverse"": 1}",1
46662,5,Multiverse,113,123,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""Multiverse"": 1}",1
46662,5,Multiversal,197,208,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""Multiversal"": 1}",1
46662,7,Lightverse,80,90,internal,https://alldimensions.fandom.com/wiki/Lightverse,"{""Lightverse"": 1}",1
46662,10,⎋⎋⎋⎋⎋verse,81,91,internal,https://alldimensions.fandom.com/wiki/%E2%8E%8B%E2%8E%8B%E2%8E%8B%E2%8E%8B%E2%8E%8Bverse,"{""⎋⎋⎋⎋⎋verse"": 1}",1
