article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
40696,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/3/3d/We_reached_the_Earth_again.png/revision/latest?cb=20220125021205,"{""\n\n"": 1}",1
40696,1,We reached the Solar System... again...,370,409,internal,https://alldimensions.fandom.com/wiki/We_reached_the_Solar_System..._again...,"{""We reached the Solar System... again..."": 1}",1
40696,1,Computerverses,428,442,internal,https://alldimensions.fandom.com/wiki/Computerverse,"{""Computerverses"": 1}",1
40696,1,Networkverses,447,460,internal,https://alldimensions.fandom.com/wiki/Networkverse,"{""Networkverses"": 1}",1
40696,1,the infinite loops theory,674,699,internal,https://alldimensions.fandom.com/wiki/The_infinite_loops_theory,"{""the infinite loops theory"": 1}",1
40696,3,Infions,70,77,internal,https://alldimensions.fandom.com/wiki/Infion,"{""Infions"": 1}",1
40696,5,Earth,44,49,internal,https://alldimensions.fandom.com/wiki/Earth,"{""Earth"": 1}",1
40696,5,universe,210,218,internal,https://alldimensions.fandom.com/wiki/Universe,"{""universe"": 1}",1
40696,5,the box,225,232,internal,https://alldimensions.fandom.com/wiki/The_box,"{""the box"": 1}",1
40696,5,wikiverse,243,252,internal,https://alldimensions.fandom.com/wiki/Wikiverse,"{""wikiverse"": 1}",1
40696,5,Computerverse,263,276,internal,https://alldimensions.fandom.com/wiki/Computerverse,"{""Computerverse"": 1}",1
