article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
43289,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/c/c4/A_newer_pic_for_protoverse.png/revision/latest?cb=20210628124710,"{""\n\n"": 1}",1
43289,1,EUSI,81,85,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
43289,1,Finality Index,128,142,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
43289,1,FOEI,166,170,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
43289,1,Laccen,604,610,internal,https://alldimensions.fandom.com/wiki/Laccen,"{""Laccen"": 1}",1
43289,1,TUR,623,626,internal,https://alldimensions.fandom.com/wiki/The_Ultimate_Reality,"{""TUR"": 1}",1
43289,3,protoverses,45,56,internal,https://alldimensions.fandom.com/wiki/Protoverse,"{""protoverses"": 1}",1
43289,3,The Ultimate Reality,349,369,internal,https://alldimensions.fandom.com/wiki/The_Ultimate_Reality,"{""The Ultimate Reality"": 1}",1
43289,3,The Meta-Box,595,607,internal,https://alldimensions.fandom.com/wiki/The_Meta-Box,"{""The Meta-Box"": 1}",1
43289,3,The Meta-Hierarchy,726,744,internal,https://alldimensions.fandom.com/wiki/The_Meta-Hierarchy,"{""The Meta-Hierarchy"": 1}",1
43289,3,Laccen.,1019,1026,internal,https://alldimensions.fandom.com/wiki/Laccen,"{""Laccen."": 1}",1
