article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
50273,1,he's,367,371,internal,https://alldimensions.fandom.com/wiki/The_Crearion,"{""he's"": 1}",1
50273,1,real,54,58,internal,https://alldimensions.fandom.com/wiki/Allsphere,"{""real"": 1}",1
50273,1,don’t,397,402,internal,https://alldimensions.fandom.com/wiki/Nihil,"{""don’t"": 1}",1
50273,1,never,412,417,internal,https://alldimensions.fandom.com/wiki/Creation,"{""never"": 1}",1
50273,1,he’s,481,485,internal,https://alldimensions.fandom.com/wiki/In-Between,"{""he’s"": 1}",1
50273,1,unlocked,559,567,internal,https://alldimensions.fandom.com/wiki/Fudgecake(Remastered),"{""unlocked"": 1}",1
50273,1,even if you cannot see it,569,594,internal,https://alldimensions.fandom.com/wiki/The_Friend_I_Can%27t_Show_You,"{""even if you cannot see it"": 1}",1
50273,1,______,596,602,internal,https://alldimensions.fandom.com/wiki/The_Crearion,"{""______"": 1}",1
50273,2,reality,44,51,internal,https://alldimensions.fandom.com/wiki/The_Gigamonarch,"{""reality"": 1}",1
50273,2,fabricated,56,66,internal,https://alldimensions.fandom.com/wiki/The_Ripoff,"{""fabricated"": 1}",1
50273,2,god-like beings,774,789,internal,https://alldimensions.fandom.com/wiki/Transcendent_Omni-God,"{""god-like beings"": 1}",1
50273,2,horrifying,883,893,internal,https://alldimensions.fandom.com/wiki/CAURGE,"{""horrifying"": 1}",1
50273,2,beautiful,902,911,internal,https://alldimensions.fandom.com/wiki/The_Outsider,"{""beautiful"": 1}",1
