article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
36479,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/f/fd/AgemesreV.png/revision/latest?cb=20210112141539,"{""\n\n"": 1}",1
36479,1,agigesreV,50,59,internal,https://alldimensions.fandom.com/wiki/AgigesreV,"{""agigesreV"": 1}",1
36479,1,itlumesreV,72,82,internal,https://alldimensions.fandom.com/wiki/ItlumesreV,"{""itlumesreV"": 1}",1
36479,1,itlumesreV,72,82,internal,https://alldimensions.fandom.com/wiki/ItlumesreV,"{""itlumesreV"": 1}",1
36479,1,itlumesreV,72,82,internal,https://alldimensions.fandom.com/wiki/ItlumesreV,"{""itlumesreV"": 1}",1
36479,1,LAIF,219,223,internal,https://alldimensions.fandom.com/wiki/LAIF,"{""LAIF"": 1}",1
36479,2,sitlumesreV,44,55,internal,https://alldimensions.fandom.com/wiki/ItlumesreV,"{""sitlumesreV"": 1}",1
36479,2,agigesreV,96,105,internal,https://alldimensions.fandom.com/wiki/AgigesreV,"{""agigesreV"": 1}",1
36479,2,inuesreVs,191,200,internal,https://alldimensions.fandom.com/wiki/InuesreV,"{""inuesreVs"": 1}",1
36479,3,The Box,314,321,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
