article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
39194,2,[1],84,87,anchor,https://alldimensions.fandom.com/wiki/All_dimensions_Wiki#cite_note-1,"{""[1]"": 1}",1
39194,3,⎊ Null class (-1) ⎊,7,26,internal,https://alldimensions.fandom.com/wiki/The_Pre-Hierarchy#⎊_Null_class_(-1)_⎊,"{""⎊ Null class (-1) ⎊"": 1}",1
39194,4,Thingk,10,16,internal,https://alldimensions.fandom.com/wiki/Thingk,"{""Thingk"": 1}",1
39194,5,ATSL uqraek fiber,0,17,internal,https://alldimensions.fandom.com/wiki/ATSL_uqraek_fiber,"{""ATSL uqraek fiber"": 1}",1
39194,5,Atomic fabric,20,33,internal,https://alldimensions.fandom.com/wiki/Absolutely_tiny_particles#.E2.8C.ACParticle_info_6,"{""Atomic fabric"": 1}",1
39194,5,Nonexistent particles,36,57,internal,https://alldimensions.fandom.com/wiki/Nonexistent_particles,"{""Nonexistent particles"": 1}",1
39194,6,ATSL Uqraek fiber,35,52,internal,https://alldimensions.fandom.com/wiki/ATSL_uqraek_fiber,"{""ATSL Uqraek fiber"": 1}",1
39194,6,[2],112,115,anchor,https://alldimensions.fandom.com/wiki/All_dimensions_Wiki#cite_note-2,"{""[2]"": 1}",1
39194,6,verses,309,315,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verses"": 1}",1
39194,9,atoms,45,50,internal,https://alldimensions.fandom.com/wiki/Atom,"{""atoms"": 1}",1
39194,9,[3],50,53,anchor,https://alldimensions.fandom.com/wiki/All_dimensions_Wiki#cite_note-3,"{""[3]"": 1}",1
39194,9,ATSL atoms,58,68,internal,https://alldimensions.fandom.com/wiki/ATSL_atoms,"{""ATSL atoms"": 1}",1
39194,10,large boom,90,100,external,https://www.youtube.com/watch?v=jEexefuB62c,"{""large boom"": 1}",1
39194,10,[4],206,209,anchor,https://alldimensions.fandom.com/wiki/All_dimensions_Wiki#cite_note-4,"{""[4]"": 1}",1
39194,11,headache,32,40,external,https://www.youtube.com/watch?v=NfBVMiIfJZU,"{""headache"": 1}",1
39194,11,for everything,41,55,external,https://www.youtube.com/watch?v=ZMWYQGxibB0,"{""for everything"": 1}",1
39194,11,[5],55,58,anchor,https://alldimensions.fandom.com/wiki/All_dimensions_Wiki#cite_note-5,"{""[5]"": 1}",1
39194,11,completely useless,77,95,external,https://www.youtube.com/watch?v=tuI_EU9Hnyk,"{""completely useless"": 1}",1
39194,14,Atom (ATSL),29,40,internal,https://alldimensions.fandom.com/wiki/ATSL_atoms,"{""Atom (ATSL)"": 1}",1
39194,14,Subatomic Particles (ATSL),43,69,internal,https://alldimensions.fandom.com/wiki/ATSL_subatomic_particles,"{""Subatomic Particles (ATSL)"": 1}",1
39194,14,Elementary particles (ATSL),72,99,internal,https://alldimensions.fandom.com/wiki/ATSL_elementary_particles,"{""Elementary particles (ATSL)"": 1}",1
39194,14,String (ATSL),102,115,internal,https://alldimensions.fandom.com/wiki/ATSL_strings,"{""String (ATSL)"": 1}",1
39194,14,Uqraek fiber (ATSL),118,137,internal,https://alldimensions.fandom.com/wiki/ATSL_uqraek_fiber,"{""Uqraek fiber (ATSL)"": 1}",1
39194,14,Nonexistent particles,156,177,internal,https://alldimensions.fandom.com/wiki/Nonexistent_particles,"{""Nonexistent particles"": 1}",1
39194,15,Thingk,31,37,internal,https://alldimensions.fandom.com/wiki/Thingk,"{""Thingk"": 1}",1
39194,15,Mandelsok,40,49,internal,https://alldimensions.fandom.com/wiki/Mandelsok,"{""Mandelsok"": 1}",1
39194,15,.:,52,54,internal,https://alldimensions.fandom.com/wiki/.:,"{"".:"": 1}",1
39194,15,Periodk,57,64,internal,https://alldimensions.fandom.com/wiki/User_blog:Googleaarex/Periodk,"{""Periodk"": 1}",1
39194,20,Universal,4,13,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universal"": 1}",1
39194,20,Verses,14,20,internal,https://alldimensions.fandom.com/wiki/Verse,"{""Verses"": 1}",1
39194,33,Hierarchy Family,0,16,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""Hierarchy Family"": 1}",1
