article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
36505,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/c/c4/Back_to_back_to_reality.png/revision/latest?cb=20210115020712,"{""\n\n"": 1}",1
36505,1,The Penteract,63,76,internal,https://alldimensions.fandom.com/wiki/The_Penteract,"{""The Penteract"": 1}",1
36505,1,Greatest Borgers,88,104,internal,https://alldimensions.fandom.com/wiki/The_Greatest_Borger!,"{""Greatest Borgers"": 1}",1
36505,1,LAIF,173,177,internal,https://alldimensions.fandom.com/wiki/LAIF,"{""LAIF"": 1}",1
36505,1,Greatest Borger,88,103,internal,https://alldimensions.fandom.com/wiki/The_Greatest_Borger!,"{""Greatest Borger"": 1}",1
36505,2,Back to Reality,53,68,internal,https://alldimensions.fandom.com/wiki/Back_to_Reality,"{""Back to Reality"": 1}",1
36505,2,The Penteract,228,241,internal,https://alldimensions.fandom.com/wiki/The_Penteract,"{""The Penteract"": 1}",1
36505,2,TEH,243,246,internal,https://alldimensions.fandom.com/wiki/The_Extended_Hierarchy,"{""TEH"": 1}",1
36505,2,U N L I M I T,276,289,internal,https://alldimensions.fandom.com/wiki/U_N_L_I_M_I_T,"{""U N L I M I T"": 1}",1
36505,2,TDEH,291,295,internal,https://alldimensions.fandom.com/wiki/The_Double_Extended_Hierarchy,"{""TDEH"": 1}",1
36505,2,Greatest Borger,332,347,internal,https://alldimensions.fandom.com/wiki/The_Greatest_Borger!,"{""Greatest Borger"": 1}",1
36505,4,lockverse,96,105,internal,https://alldimensions.fandom.com/wiki/Lockverse,"{""lockverse"": 1}",1
