article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
49269,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/c/cd/Blueberries_.jpg/revision/latest?cb=20250406053108,"{""\n\n"": 1}",1
49269,1,EUSI,310,314,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
49269,1,The Box,466,473,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
49269,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/8/83/Strawberries.png/revision/latest?cb=20250406055659,"{""\n\n"": 1}",1
49269,4,Berryverse,21,31,internal,https://alldimensions.fandom.com/wiki/Berryverse,"{""Berryverse"": 1}",1
49269,5,Dualverse,36,45,internal,https://alldimensions.fandom.com/wiki/Dualverse,"{""Dualverse"": 1}",1
49269,6,Universe,118,126,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
49269,8,UNI-1,247,252,internal,https://alldimensions.fandom.com/wiki/UNI-1,"{""UNI-1"": 1}",1
49269,8,UNI-1,247,252,internal,https://alldimensions.fandom.com/wiki/UNI-1,"{""UNI-1"": 1}",1
49269,9,humans,37,43,internal,https://alldimensions.fandom.com/wiki/Human,"{""humans"": 1}",1
49269,9,UNI-1,47,52,internal,https://alldimensions.fandom.com/wiki/UNI-1,"{""UNI-1"": 1}",1
49269,9,Earth,55,60,internal,https://alldimensions.fandom.com/wiki/Earth,"{""Earth"": 1}",1
49269,9,[1],97,100,anchor,https://alldimensions.fandom.com/wiki/All_dimensions_Wiki#cite_note-1,"{""[1]"": 1}",1
49269,9,[2],121,124,anchor,https://alldimensions.fandom.com/wiki/All_dimensions_Wiki#cite_note-2,"{""[2]"": 1}",1
49269,9,[3],133,136,anchor,https://alldimensions.fandom.com/wiki/All_dimensions_Wiki#cite_note-3,"{""[3]"": 1}",1
49269,12,[4],196,199,anchor,https://alldimensions.fandom.com/wiki/All_dimensions_Wiki#cite_note-4,"{""[4]"": 1}",1
49269,13,Ruptureverse,126,138,internal,https://alldimensions.fandom.com/wiki/Ruptureverse,"{""Ruptureverse"": 1}",1
49269,14,Uqraek fiber,126,138,internal,https://alldimensions.fandom.com/wiki/Uqraek_fiber,"{""Uqraek fiber"": 1}",1
