article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
45270,1,Automate Industries,46,65,internal,https://alldimensions.fandom.com/wiki/Category:Automate_Industries,"{""Automate Industries"": 1}",1
45270,1,ɢ,119,120,internal,https://alldimensions.fandom.com/wiki/Metagear,"{""ɢ"": 1}",1
45270,2,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/8/8b/Arithmetic_Combinator.png/revision/latest?cb=20240113180657,"{""\n\n"": 1}",1
45270,2,ɢ,89,90,internal,https://alldimensions.fandom.com/wiki/Metagear,"{""ɢ"": 1}",1
45270,2,electronic circuits,125,144,internal,https://alldimensions.fandom.com/wiki/Circuits#Electronic_Circuit,"{""electronic circuits"": 1}",1
45270,7,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/0/08/Constant_Combinator.png/revision/latest?cb=20240113181650,"{""\n\n"": 1}",1
45270,7,ɢ,84,85,internal,https://alldimensions.fandom.com/wiki/Metagear,"{""ɢ"": 1}",1
45270,7,electronic circuits,120,139,internal,https://alldimensions.fandom.com/wiki/Circuits#Electronic_Circuit,"{""electronic circuits"": 1}",1
45270,12,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/6/60/Decider_Combinator.png/revision/latest?cb=20240113182718,"{""\n\n"": 1}",1
45270,12,ɢ,82,83,internal,https://alldimensions.fandom.com/wiki/Metagear,"{""ɢ"": 1}",1
45270,12,electronic circuits,118,137,internal,https://alldimensions.fandom.com/wiki/Circuits#Electronic_Circuit,"{""electronic circuits"": 1}",1
