article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
46748,1,H (-9),52,58,internal,https://alldimensions.fandom.com/wiki/Hyperdimension,"{""H (-9)"": 1}",1
46748,2,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/3/3f/CBH.png.jpg/revision/latest?cb=20240820140213,"{""\n\n"": 1}",1
46748,2,EUSI,59,63,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
46748,2,Finality Index,78,92,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
46748,2,FOEI,107,111,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
46748,2,H (-9),141,147,internal,https://alldimensions.fandom.com/wiki/Hyperdimension,"{""H (-9)"": 1}",1
46748,2,Nothings......,386,400,internal,https://alldimensions.fandom.com/wiki/Nothing......,"{""Nothings......"": 1}",1
46748,2,Conceptual Gates,413,429,internal,https://alldimensions.fandom.com/wiki/Conceptual_Gate_(alternate),"{""Conceptual Gates"": 1}",1
46748,2,Conceptual keys,431,446,internal,https://alldimensions.fandom.com/wiki/Conceptual_key,"{""Conceptual keys"": 1}",1
46748,2,non conceptual verses,448,469,internal,https://alldimensions.fandom.com/wiki/Non_conceptual_verse,"{""non conceptual verses"": 1}",1
46748,3,physical black holes,128,148,internal,https://alldimensions.fandom.com/wiki/Black_hole,"{""physical black holes"": 1}",1
46748,11,Universal,4,13,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universal"": 1}",1
46748,11,Verses,14,20,internal,https://alldimensions.fandom.com/wiki/Verse,"{""Verses"": 1}",1
46748,24,Hierarchy Family,0,16,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""Hierarchy Family"": 1}",1
