article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
49637,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/0/02/Endometrium_atom.png/revision/latest?cb=20250508000919,"{""\n\n"": 1}",1
49637,1,atom,41,45,internal,https://alldimensions.fandom.com/wiki/Atom,"{""atom"": 1}",1
49637,1,Antiverses,211,221,internal,https://alldimensions.fandom.com/wiki/Antiverse,"{""Antiverses"": 1}",1
49637,1,Antiverses,211,221,internal,https://alldimensions.fandom.com/wiki/Antiverse,"{""Antiverses"": 1}",1
49637,2,element,24,31,internal,https://alldimensions.fandom.com/wiki/Category:Elements,"{""element"": 1}",1
49637,2,periodic table,39,53,internal,https://alldimensions.fandom.com/wiki/All_Dimensions_Periodic_Table,"{""periodic table"": 1}",1
49637,2,protons,144,151,internal,https://alldimensions.fandom.com/wiki/Proton,"{""protons"": 1}",1
49637,2,electrons,162,171,internal,https://alldimensions.fandom.com/wiki/Electron,"{""electrons"": 1}",1
49637,3,Antiverses,33,43,internal,https://alldimensions.fandom.com/wiki/Antiverse,"{""Antiverses"": 1}",1
49637,3,true anti logic,68,83,internal,https://alldimensions.fandom.com/wiki/Anti_Logic_(true),"{""true anti logic"": 1}",1
49637,3,black dwarves,167,180,internal,https://alldimensions.fandom.com/wiki/Black_Dwarf,"{""black dwarves"": 1}",1
