article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
20859,1,Universes,80,89,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universes"": 1}",1
20859,2,Uqraek Fibers,191,204,internal,https://alldimensions.fandom.com/wiki/Uqraek_fiber,"{""Uqraek Fibers"": 1}",1
20859,3,Imaginary Cube,252,266,internal,https://alldimensions.fandom.com/wiki/Imaginary_Cube,"{""Imaginary Cube"": 1}",1
20859,3,Imaginary Energy,298,314,internal,https://alldimensions.fandom.com/wiki/Imaginary_Energy,"{""Imaginary Energy"": 1}",1
20859,4,Hyperradioverses,144,160,internal,https://alldimensions.fandom.com/wiki/Radioactive_Chain,"{""Hyperradioverses"": 1}",1
20859,4,Le Jorino Areas,191,206,internal,https://alldimensions.fandom.com/wiki/Le_Jorino_Area,"{""Le Jorino Areas"": 1}",1
20859,4,Cetaverses,210,220,internal,https://alldimensions.fandom.com/wiki/Cetaverse,"{""Cetaverses"": 1}",1
20859,7,Universes,36,45,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universes"": 1}",1
20859,7,Cosmic Clouds,67,80,internal,https://alldimensions.fandom.com/wiki/Cosmic_Cloud,"{""Cosmic Clouds"": 1}",1
20859,7,Multiverses,133,144,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""Multiverses"": 1}",1
20859,7,Metaverses,146,156,internal,https://alldimensions.fandom.com/wiki/Metaverse,"{""Metaverses"": 1}",1
20859,7,Megaverses,158,168,internal,https://alldimensions.fandom.com/wiki/Megaverse,"{""Megaverses"": 1}",1
20859,7,Gigaverses,174,184,internal,https://alldimensions.fandom.com/wiki/Gigaverse,"{""Gigaverses"": 1}",1
20859,7,Teraverses,217,227,internal,https://alldimensions.fandom.com/wiki/Teraverse,"{""Teraverses"": 1}",1
20859,8,vehicles,145,153,internal,https://alldimensions.fandom.com/wiki/Universal_Transportation_Ship,"{""vehicles"": 1}",1
20859,9,subordinate,28,39,internal,https://alldimensions.fandom.com/wiki/Verse,"{""subordinate"": 1}",1
20859,10,Primordium,110,120,internal,https://alldimensions.fandom.com/wiki/Category:Primordium_Particle,"{""Primordium"": 1}",1
20859,10,Primordium Alphas,224,241,internal,https://alldimensions.fandom.com/wiki/Primordium_Omega,"{""Primordium Alphas"": 1}",1
20859,11,Omniverse,33,42,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
20859,11,Outside,81,88,internal,https://alldimensions.fandom.com/wiki/The_Outside,"{""Outside"": 1}",1
20859,11,Hyperradioverses,153,169,internal,https://alldimensions.fandom.com/wiki/Radioactive_Chain,"{""Hyperradioverses"": 1}",1
20859,13,existence ranks,78,93,internal,https://alldimensions.fandom.com/wiki/Existence_Rank,"{""existence ranks"": 1}",1
20859,13,glitchy,99,106,internal,https://alldimensions.fandom.com/wiki/Glitch_Matter,"{""glitchy"": 1}",1
20859,13,fused,111,116,internal,https://alldimensions.fandom.com/wiki/Primordium-Particle_Fusions,"{""fused"": 1}",1
20859,13,Barrels,285,292,internal,https://alldimensions.fandom.com/wiki/Barrel,"{""Barrels"": 1}",1
20859,13,Primordium Omega,352,368,internal,https://alldimensions.fandom.com/wiki/Primordium_Omega,"{""Primordium Omega"": 1}",1
20859,14,Barrel,101,107,internal,https://alldimensions.fandom.com/wiki/Barrel,"{""Barrel"": 1}",1
20859,14,Cetaverse,140,149,internal,https://alldimensions.fandom.com/wiki/Cetaverse,"{""Cetaverse"": 1}",1
20859,14,Radioactive Chain,229,246,internal,https://alldimensions.fandom.com/wiki/Radioactive_Chain,"{""Radioactive Chain"": 1}",1
