article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
49188,2,Star o,42,48,internal,https://alldimensions.fandom.com/wiki/Starrum_The_Infinite,"{""Star o"": 1}",1
49188,2,f Infinitum,48,59,internal,https://alldimensions.fandom.com/wiki/Lani%C4%81kean_Fudgecake,"{""f Infinitum"": 1}",1
49188,3,Time,7,11,internal,https://alldimensions.fandom.com/wiki/%22Time%22,"{""Time"": 1}",1
49188,3,Space,13,18,internal,https://alldimensions.fandom.com/wiki/%22Space%22,"{""Space"": 1}",1
49188,3,Reality,20,27,internal,https://alldimensions.fandom.com/wiki/Lord_of_Everything,"{""Reality"": 1}",1
49188,3,Chaos,29,34,internal,https://alldimensions.fandom.com/wiki/The_Meta-Hierarchy,"{""Chaos"": 1}",1
49188,3,Order,36,41,internal,https://alldimensions.fandom.com/wiki/The_Supremum_of_Order,"{""Order"": 1}",1
49188,3,Infinity,43,51,internal,https://alldimensions.fandom.com/wiki/Jerald,"{""Infinity"": 1}",1
49188,3,anything,63,71,internal,https://alldimensions.fandom.com/wiki/Allsphere,"{""anything"": 1}",1
49188,3,nothing,76,83,internal,https://alldimensions.fandom.com/wiki/True_nothing_(true),"{""nothing"": 1}",1
49188,6,WTF-Level Beings,61,77,internal,https://alldimensions.fandom.com/wiki/The_Ultimate_Transcendental_Unfathomable_Source_Singularity_Primordial_Light,"{""WTF-Level Beings"": 1}",1
