article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
26328,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/6/6e/Screen_Shot_2020-04-29_at_12.19.39_AM.png/revision/latest?cb=20200429072026,"{""\n\n"": 1}",1
26328,1,Gems of Understanding,47,68,internal,https://alldimensions.fandom.com/wiki/The_Gem_of_Understanding,"{""Gems of Understanding"": 1}",1
26328,1,The Omni Homes,80,94,internal,https://alldimensions.fandom.com/wiki/The_Omni_Home,"{""The Omni Homes"": 1}",1
26328,1,Geodeverses,96,107,internal,https://alldimensions.fandom.com/wiki/Geodeverse,"{""Geodeverses"": 1}",1
26328,1,Omni Home,84,93,internal,https://alldimensions.fandom.com/wiki/The_Omni_Home,"{""Omni Home"": 1}",1
26328,1,structures,204,214,internal,https://alldimensions.fandom.com/wiki/Category:Structure,"{""structures"": 1}",1
26328,1,10th class,237,247,internal,https://alldimensions.fandom.com/wiki/Category:10th-class,"{""10th class"": 1}",1
26328,1,OYC,277,280,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
26328,1,Daves,298,303,internal,https://alldimensions.fandom.com/wiki/Dave,"{""Daves"": 1}",1
26328,1,wormhole,329,337,internal,https://alldimensions.fandom.com/wiki/Wormhole,"{""wormhole"": 1}",1
26328,3,Omni Homes,63,73,internal,https://alldimensions.fandom.com/wiki/The_Omni_Home,"{""Omni Homes"": 1}",1
26328,3,Endless Perches,156,171,internal,https://alldimensions.fandom.com/wiki/Endless_Perch,"{""Endless Perches"": 1}",1
26328,4,Gems of Understanding,68,89,internal,https://alldimensions.fandom.com/wiki/The_Gem_of_Understanding,"{""Gems of Understanding"": 1}",1
26328,5,Geodeverses,105,116,internal,https://alldimensions.fandom.com/wiki/Geodeverse,"{""Geodeverses"": 1}",1
26328,5,entities,145,153,internal,https://alldimensions.fandom.com/wiki/Category:Cosmic_entity,"{""entities"": 1}",1
26328,6,Daves,126,131,internal,https://alldimensions.fandom.com/wiki/Dave,"{""Daves"": 1}",1
26328,6,built,213,218,internal,https://alldimensions.fandom.com/wiki/Category:Manmade,"{""built"": 1}",1
26328,6,Tetraverse,337,347,internal,https://alldimensions.fandom.com/wiki/Tetraverse,"{""Tetraverse"": 1}",1
