article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
47885,1,Orbitalexettaverse,45,63,internal,https://alldimensions.fandom.com/wiki/User_blog:MinersHavenM43/Orbitalexettaverse,"{""Orbitalexettaverse"": 1}",1
47885,1,Orbitalexettaverse,45,63,internal,https://alldimensions.fandom.com/wiki/User_blog:MinersHavenM43/Orbitalexettaverse,"{""Orbitalexettaverse"": 1}",1
47885,2,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/c/ce/Maltoverse.png.png/revision/latest?cb=20241206155029,"{""\n\n"": 1}",1
47885,2,Orbitalexettaverse,38,56,internal,https://alldimensions.fandom.com/wiki/Orbitalexettaverse,"{""Orbitalexettaverse"": 1}",1
47885,2,EUSI,59,63,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
47885,2,Gradientxettaverse,173,191,internal,https://alldimensions.fandom.com/wiki/Gradientxettaverse,"{""Gradientxettaverse"": 1}",1
47885,4,Orbitalexettaverse,176,194,internal,https://alldimensions.fandom.com/wiki/User_blog:MinersHavenM43/Orbitalexettaverse,"{""Orbitalexettaverse"": 1}",1
47885,4,Orbitallexetaverse,318,336,internal,https://alldimensions.fandom.com/wiki/User_blog:MinersHavenM43/Orbitalexettaverse,"{""Orbitallexetaverse"": 1}",1
47885,4,imaginary energy,397,413,internal,https://alldimensions.fandom.com/wiki/Imaginary_Energy,"{""imaginary energy"": 1}",1
47885,4,The Verse,466,475,internal,https://alldimensions.fandom.com/wiki/The_Verse,"{""The Verse"": 1}",1
47885,9,Merceriumtxettaverses,316,337,internal,https://alldimensions.fandom.com/wiki/User_blog:MinersHavenM43/Merkuriumxettaverse,"{""Merceriumtxettaverses"": 1}",1
