article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
25011,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/9/9b/Black_hole.png/revision/latest?cb=20190105104230,"{""\n\n"": 1}",1
25011,1,Omega Black Hole,2,18,internal,https://alldimensions.fandom.com/wiki/The_Omega_Black_Hole,"{""Omega Black Hole"": 1}",1
25011,1,Omegahuman,140,150,internal,https://alldimensions.fandom.com/wiki/Omegahuman,"{""Omegahuman"": 1}",1
25011,1,Collection of Hyperspaces,186,211,internal,https://alldimensions.fandom.com/wiki/Collection_of_Hyperspaces,"{""Collection of Hyperspaces"": 1}",1
25011,1,Omegavoid,374,383,internal,https://alldimensions.fandom.com/wiki/Omegavoid,"{""Omegavoid"": 1}",1
25011,1,Collection of Hyperspaces,186,211,internal,https://alldimensions.fandom.com/wiki/Collection_of_Hyperspaces,"{""Collection of Hyperspaces"": 1}",1
25011,1,Hyperspace Collections,520,542,internal,https://alldimensions.fandom.com/wiki/Collection_of_Hyperspaces,"{""Hyperspace Collections"": 1}",1
25011,1,Omegahumans,823,834,internal,https://alldimensions.fandom.com/wiki/Omegahuman,"{""Omegahumans"": 1}",1
25011,1,Omega Black Holes,851,868,internal,https://alldimensions.fandom.com/wiki/The_Omega_Black_Hole,"{""Omega Black Holes"": 1}",1
25011,3,Unexistence,45,56,internal,https://alldimensions.fandom.com/wiki/Unexistence,"{""Unexistence"": 1}",1
25011,3,Omega Voids,71,82,internal,https://alldimensions.fandom.com/wiki/Omega_Void,"{""Omega Voids"": 1}",1
