article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
45546,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/6/6e/CMBR.png/revision/latest?cb=20240224152606,"{""\n\n"": 1}",1
45546,1,Local Universe Group,239,259,internal,https://alldimensions.fandom.com/wiki/Local_Universe_Group,"{""Local Universe Group"": 1}",1
45546,1,our Multiverse,261,275,internal,https://alldimensions.fandom.com/wiki/Our_Multiverse,"{""our Multiverse"": 1}",1
45546,1,Observable Universe,287,306,internal,https://alldimensions.fandom.com/wiki/User_blog:Holomanga/Observable_Universe,"{""Observable Universe"": 1}",1
45546,1,Milky Way,308,317,internal,https://alldimensions.fandom.com/wiki/Milky_Way,"{""Milky Way"": 1}",1
45546,1,Chetoma,319,326,internal,https://alldimensions.fandom.com/wiki/Chetoma,"{""Chetoma"": 1}",1
45546,1,Thegatus,328,336,internal,https://alldimensions.fandom.com/wiki/Thegatus,"{""Thegatus"": 1}",1
45546,1,Tyàts,338,343,internal,https://alldimensions.fandom.com/wiki/Ty%C3%A0ts,"{""Tyàts"": 1}",1
45546,1,Tree Tag Galaxy,345,360,internal,https://alldimensions.fandom.com/wiki/Tree_Tag_Galaxy,"{""Tree Tag Galaxy"": 1}",1
45546,1,Earth,362,367,internal,https://alldimensions.fandom.com/wiki/Earth,"{""Earth"": 1}",1
45546,1,Polyverses,369,379,internal,https://alldimensions.fandom.com/wiki/Polyverse,"{""Polyverses"": 1}",1
45546,3,Reality,53,60,internal,https://alldimensions.fandom.com/wiki/Reality,"{""Reality"": 1}",1
45546,3,universe,73,81,internal,https://alldimensions.fandom.com/wiki/Universe,"{""universe"": 1}",1
45546,3,Local Universe Group,97,117,internal,https://alldimensions.fandom.com/wiki/Local_Universe_Group,"{""Local Universe Group"": 1}",1
45546,3,UNI-3,189,194,internal,https://alldimensions.fandom.com/wiki/UNI-3,"{""UNI-3"": 1}",1
45546,3,UNI-5039,196,204,internal,https://alldimensions.fandom.com/wiki/UNI-5039,"{""UNI-5039"": 1}",1
