article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
43501,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/9/95/%21%21%21%21%21primidial_crap.png/revision/latest?cb=20230122181455,"{""\n\n"": 1}",1
43501,1,True kcehs,62,72,internal,https://alldimensions.fandom.com/wiki/True_kceh,"{""True kcehs"": 1}",1
43501,1,Layers of primidial godity space,98,130,internal,https://alldimensions.fandom.com/wiki/Layers_of_primidial_godity_space,"{""Layers of primidial godity space"": 1}",1
43501,1,Metawebs,132,140,internal,https://alldimensions.fandom.com/wiki/Metaweb,"{""Metawebs"": 1}",1
43501,1,verses,260,266,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verses"": 1}",1
43501,1,22th class,274,284,internal,https://alldimensions.fandom.com/wiki/Category:22th-class,"{""22th class"": 1}",1
43501,1,final chain,304,315,internal,https://alldimensions.fandom.com/wiki/The_Post-Hierarchy#Final_Chain,"{""final chain"": 1}",1
43501,1,Post-hierarchy,394,408,internal,https://alldimensions.fandom.com/wiki/The_Post-Hierarchy,"{""Post-hierarchy"": 1}",1
43501,2,rogue,46,51,internal,https://alldimensions.fandom.com/wiki/Rogue_Planet,"{""rogue"": 1}",1
43501,2,planets,52,59,internal,https://alldimensions.fandom.com/wiki/Planet,"{""planets"": 1}",1
43501,2,wikiverse,155,164,internal,https://alldimensions.fandom.com/wiki/Wikiverse,"{""wikiverse"": 1}",1
43501,3,primidial beyond godities,14,39,internal,https://alldimensions.fandom.com/wiki/Beyond_godity,"{""primidial beyond godities"": 1}",1
