article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
41495,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/a/a0/Primordial_factory.png/revision/latest?cb=20220507213213,"{""\n\n"": 1}",1
41495,1,Primordial Warehouses,58,79,internal,https://alldimensions.fandom.com/wiki/Primordial_Warehouse,"{""Primordial Warehouses"": 1}",1
41495,1,Primordial Baskets,91,109,internal,https://alldimensions.fandom.com/wiki/Primordial_Basket,"{""Primordial Baskets"": 1}",1
41495,1,Primordial Basket,91,108,internal,https://alldimensions.fandom.com/wiki/Primordial_Basket,"{""Primordial Basket"": 1}",1
41495,1,Primordial Basket,91,108,internal,https://alldimensions.fandom.com/wiki/Primordial_Basket,"{""Primordial Basket"": 1}",1
41495,1,Primordial Basket,91,108,internal,https://alldimensions.fandom.com/wiki/Primordial_Basket,"{""Primordial Basket"": 1}",1
41495,1,Primordial Baskets,91,109,internal,https://alldimensions.fandom.com/wiki/Primordial_Basket,"{""Primordial Baskets"": 1}",1
41495,1,Voidsecond,350,360,internal,https://alldimensions.fandom.com/wiki/Voidsecond,"{""Voidsecond"": 1}",1
41495,1,Primordial Warehouses,58,79,internal,https://alldimensions.fandom.com/wiki/Primordial_Warehouse,"{""Primordial Warehouses"": 1}",1
41495,2,something else…,249,264,internal,https://alldimensions.fandom.com/wiki/The_Backrooms,"{""something else…"": 1}",1
