article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
20382,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/7/75/THE_TRUE_PRIMORDIAL.png/revision/latest?cb=20200315000459,"{""\n\n"": 1}",1
20382,1,The Universe Swarm,59,77,internal,https://alldimensions.fandom.com/wiki/The_Universe_Swarm,"{""The Universe Swarm"": 1}",1
20382,1,Special Pocket Dimensions,89,114,internal,https://alldimensions.fandom.com/wiki/Special_Pocket_Dimension,"{""Special Pocket Dimensions"": 1}",1
20382,1,Universes,116,125,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universes"": 1}",1
20382,1,Multiverses,127,138,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""Multiverses"": 1}",1
20382,1,Megaverses,140,150,internal,https://alldimensions.fandom.com/wiki/Megaverse,"{""Megaverses"": 1}",1
20382,1,Zathoverses,152,163,internal,https://alldimensions.fandom.com/wiki/Zathoverse,"{""Zathoverses"": 1}",1
20382,1,Kuadoverses,165,176,internal,https://alldimensions.fandom.com/wiki/Kuadoverse,"{""Kuadoverses"": 1}",1
20382,1,HIS HOME,178,186,internal,https://alldimensions.fandom.com/wiki/HIS_HOME,"{""HIS HOME"": 1}",1
20382,1,The Primordial,2,16,internal,https://alldimensions.fandom.com/wiki/The_Primordial,"{""The Primordial"": 1}",1
20382,1,S o m e t h I n g,204,221,internal,https://alldimensions.fandom.com/wiki/S_o_m_e_t_h_I_n_g,"{""S o m e t h I n g"": 1}",1
20382,1,Sigma,223,228,internal,https://alldimensions.fandom.com/wiki/Sigma,"{""Sigma"": 1}",1
20382,1,Zoid,230,234,internal,https://alldimensions.fandom.com/wiki/Zoid,"{""Zoid"": 1}",1
20382,1,Vauzverse,236,245,internal,https://alldimensions.fandom.com/wiki/Vauzverse,"{""Vauzverse"": 1}",1
20382,1,Zlayverse,247,256,internal,https://alldimensions.fandom.com/wiki/Zlayverse,"{""Zlayverse"": 1}",1
20382,1,Katoverse,258,267,internal,https://alldimensions.fandom.com/wiki/Katoverse,"{""Katoverse"": 1}",1
20382,1,Lundeverse,269,279,internal,https://alldimensions.fandom.com/wiki/Lundeverse,"{""Lundeverse"": 1}",1
20382,1,100232,281,287,internal,https://alldimensions.fandom.com/wiki/100232,"{""100232"": 1}",1
20382,1,Mirrorverse,289,300,internal,https://alldimensions.fandom.com/wiki/Mirrorverse,"{""Mirrorverse"": 1}",1
20382,1,Automataverse,302,315,internal,https://alldimensions.fandom.com/wiki/Automataverse,"{""Automataverse"": 1}",1
20382,1,Menıterverse,317,329,internal,https://alldimensions.fandom.com/wiki/Men%C4%B1terverse,"{""Menıterverse"": 1}",1
20382,1,verse,331,341,internal,https://alldimensions.fandom.com/wiki/%C2%89%C2%9A%C2%8D%C2%8C%C2%9Averse,"{""verse"": 1}",1
20382,1,Ѫʊӌҥұ-Ӿђҥ Ӌʌӽʊӌ,343,358,internal,https://alldimensions.fandom.com/wiki/%D1%AA%CA%8A%D3%8C%D2%A5%D2%B1-%D3%BE%D1%92%D2%A5_%D3%8B%CA%8C%D3%BD%CA%8A%D3%8C,"{""Ѫʊӌҥұ-Ӿђҥ Ӌʌӽʊӌ"": 1}",1
20382,1,THE ⫓̴⋃͟⌈̵⌈̴̴͠E͘͢Λ̀⌊̸,360,381,internal,https://alldimensions.fandom.com/wiki/THE_%E2%AB%93%CC%B4%E2%8B%83%CD%9F%E2%8C%88%CC%B5%E2%8C%88%CC%B4%CC%B4%CD%A0E%CD%98%CD%A2%CE%9B%CC%80%E2%8C%8A%CC%B8,"{""THE ⫓̴⋃͟⌈̵⌈̴̴͠E͘͢Λ̀⌊̸"": 1}",1
20382,1,Bulnverse,383,392,internal,https://alldimensions.fandom.com/wiki/Bulnverse,"{""Bulnverse"": 1}",1
20382,1,Omniverses,595,605,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverses"": 1}",1
20382,1,Boxes,610,615,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""Boxes"": 1}",1
20382,1,Primordial,6,16,internal,https://alldimensions.fandom.com/wiki/The_Primordial,"{""Primordial"": 1}",1
20382,2,Primordium Delta,92,108,internal,https://alldimensions.fandom.com/wiki/Primordium_Delta,"{""Primordium Delta"": 1}",1
20382,2,Universe Swarm,455,469,internal,https://alldimensions.fandom.com/wiki/The_Universe_Swarm,"{""Universe Swarm"": 1}",1
20382,3,Zoid,89,93,internal,https://alldimensions.fandom.com/wiki/Zoid,"{""Zoid"": 1}",1
20382,3,HIS HOME,95,103,internal,https://alldimensions.fandom.com/wiki/HIS_HOME,"{""HIS HOME"": 1}",1
20382,3,HIS HOME,95,103,internal,https://alldimensions.fandom.com/wiki/HIS_HOME,"{""HIS HOME"": 1}",1
20382,3,Primordium Alpha,216,232,internal,https://alldimensions.fandom.com/wiki/Primordium_Alpha,"{""Primordium Alpha"": 1}",1
