article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
34565,2,Primordium Delta,5,21,internal,https://alldimensions.fandom.com/wiki/Primordium_Delta,"{""Primordium Delta"": 1}",1
34565,6,Primordium Alpha:,5,22,internal,https://alldimensions.fandom.com/wiki/Primordium_Alpha,"{""Primordium Alpha:"": 1}",1
34565,6,Primordium Omega,109,125,internal,https://alldimensions.fandom.com/wiki/Primordium_Omega,"{""Primordium Omega"": 1}",1
34565,9,Primordium Sigma,5,21,internal,https://alldimensions.fandom.com/wiki/Primordium_Sigma,"{""Primordium Sigma"": 1}",1
34565,11,Primordium Omega,5,21,internal,https://alldimensions.fandom.com/wiki/Primordium_Omega,"{""Primordium Omega"": 1}",1
34565,11,Primordium Omega,5,21,internal,https://alldimensions.fandom.com/wiki/Primordium_Omega,"{""Primordium Omega"": 1}",1
34565,13,Primordium Phi,5,19,internal,https://alldimensions.fandom.com/wiki/Primordium_Phi,"{""Primordium Phi"": 1}",1
34565,13,Primordium Phi,5,19,internal,https://alldimensions.fandom.com/wiki/Primordium_Phi,"{""Primordium Phi"": 1}",1
34565,15,Primordium Theta,9,25,internal,https://alldimensions.fandom.com/wiki/Primordium_Theta,"{""Primordium Theta"": 1}",1
34565,24,Preprimordium Particles,68,91,internal,https://alldimensions.fandom.com/wiki/Preprimordium_Particles,"{""Preprimordium Particles"": 1}",1
34565,26,Omniverse,211,220,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
34565,26,The Outside,275,286,internal,https://alldimensions.fandom.com/wiki/The_Outside,"{""The Outside"": 1}",1
34565,35,Omniverse,99,108,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
34565,36,Primordium Omega,46,62,internal,https://alldimensions.fandom.com/wiki/Primordium_Omega,"{""Primordium Omega"": 1}",1
34565,36,Primordium Epsilon,67,85,internal,https://alldimensions.fandom.com/wiki/Primordium_Epsilon,"{""Primordium Epsilon"": 1}",1
34565,36,Universe,169,177,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
34565,37,Primordium Phi,64,78,internal,https://alldimensions.fandom.com/wiki/Primordium_Phi,"{""Primordium Phi"": 1}",1
34565,38,Primordium Epsilon,38,56,internal,https://alldimensions.fandom.com/wiki/Primordium_Epsilon,"{""Primordium Epsilon"": 1}",1
34565,68,Bongus,143,149,internal,https://alldimensions.fandom.com/wiki/Bongus,"{""Bongus"": 1}",1
34565,69,Xoꓭ ǝʜT,91,98,internal,https://alldimensions.fandom.com/wiki/Xo%EA%93%AD_%C7%9D%CA%9CT,"{""Xoꓭ ǝʜT"": 1}",1
34565,69,Never,113,118,internal,https://alldimensions.fandom.com/wiki/Never,"{""Never"": 1}",1
34565,69,Always,137,143,internal,https://alldimensions.fandom.com/wiki/Always,"{""Always"": 1}",1
34565,70,Glitchyverse,77,89,internal,https://alldimensions.fandom.com/wiki/Glitchyverse,"{""Glitchyverse"": 1}",1
34565,74,Existence,129,138,internal,https://alldimensions.fandom.com/wiki/Existence,"{""Existence"": 1}",1
34565,77,Threads,58,65,internal,https://alldimensions.fandom.com/wiki/The_Thread,"{""Threads"": 1}",1
34565,82,Xoꓭ ǝʜT,117,124,internal,https://alldimensions.fandom.com/wiki/Xo%EA%93%AD_%C7%9D%CA%9CT,"{""Xoꓭ ǝʜT"": 1}",1
34565,85,The Supply Store,147,163,internal,https://alldimensions.fandom.com/wiki/The_Supply_Store,"{""The Supply Store"": 1}",1
34565,98,Funy Entities,80,93,internal,https://alldimensions.fandom.com/wiki/Funy_Entities,"{""Funy Entities"": 1}",1
