article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
36941,1,Structures Throughout Transinfinite Spaces,21,63,internal,https://alldimensions.fandom.com/wiki/Structures_throughout_transinfinite_spaces,"{""Structures Throughout Transinfinite Spaces"": 1}",1
36941,2,this,85,89,internal,https://alldimensions.fandom.com/wiki/Probabilistic_The_Box_Supercluster,"{""this"": 1}",1
36941,4,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/d/d4/Hypercluster.gif/revision/latest?cb=20210227054702,"{""\n\n"": 1}",1
36941,4,The Particle,74,86,internal,https://alldimensions.fandom.com/wiki/The_Particle,"{""The Particle"": 1}",1
36941,4,Probabilistic The Box Supercluster,98,132,internal,https://alldimensions.fandom.com/wiki/Probabilistic_The_Box_Supercluster,"{""Probabilistic The Box Supercluster"": 1}",1
36941,4,Probabilistical The Box Supercluster,287,323,internal,https://alldimensions.fandom.com/wiki/Probabilistic_The_Box_Supercluster,"{""Probabilistical The Box Supercluster"": 1}",1
36941,8,The Particle,82,94,internal,https://alldimensions.fandom.com/wiki/The_Particle,"{""The Particle"": 1}",1
36941,9,Inner void,114,124,internal,https://alldimensions.fandom.com/wiki/The_Inner_Void,"{""Inner void"": 1}",1
36941,27,E,112,113,external,https://www.youtube.com/watch?v=dfdGd31gNjI&t=1s,"{""E"": 1}",1
36941,36,bigg,108,112,external,https://googology.fandom.com/wiki/BIGG,"{""bigg"": 1}",1
36941,41,Superclusters,309,322,internal,https://alldimensions.fandom.com/wiki/Probabilistic_The_Box_Supercluster,"{""Superclusters"": 1}",1
36941,68,supercluster,77,89,internal,https://alldimensions.fandom.com/wiki/Probabilistic_The_Box_Supercluster,"{""supercluster"": 1}",1
36941,69,universe,301,309,internal,https://alldimensions.fandom.com/wiki/Universe,"{""universe"": 1}",1
36941,71,this,252,256,external,https://www.youtube.com/watch?v=jEexefuB62c,"{""this"": 1}",1
36941,73,Chonk,92,97,external,https://imgur.com/gallery/sNqNi9E,"{""Chonk"": 1}",1
36941,73,this,74,78,external,https://www.youtube.com/watch?v=jEexefuB62c,"{""this"": 1}",1
36941,79,miniverse,165,174,internal,https://alldimensions.fandom.com/wiki/Miniverse,"{""miniverse"": 1}",1
36941,82,aight Imma head out,293,312,external,https://www.youtube.com/watch?v=Eu9qaThvv_o,"{""aight Imma head out"": 1}",1
36941,82,threshold of NOKIA3310,387,409,external,https://www.youtube.com/watch?v=g1GVSuc8ZPg,"{""threshold of NOKIA3310"": 1}",1
36941,84,fire,155,159,external,https://www.youtube.com/watch?v=iubpN72D6AI,"{""fire"": 1}",1
36941,88,megachonk,9,18,external,https://www.google.com/search?q=megachonk&sxsrf=ALeKk01ltstmXtieqaCRb31OvlO_c0fXxA:1623001076673&source=lnms&tbm=isch&sa=X&ved=2ahUKEwijkZSVxoPxAhXtIjQIHQFxA7MQ_AUoAXoECAEQAw&biw=1920&bih=937#imgrc=imyMeAQrP688kM,"{""megachonk"": 1}",1
36941,88,megachonk,9,18,external,https://www.google.com/search?q=megachonk&sxsrf=ALeKk01ltstmXtieqaCRb31OvlO_c0fXxA:1623001076673&source=lnms&tbm=isch&sa=X&ved=2ahUKEwijkZSVxoPxAhXtIjQIHQFxA7MQ_AUoAXoECAEQAw&biw=1920&bih=937#imgrc=imyMeAQrP688kM,"{""megachonk"": 1}",1
36941,88,megachonk,9,18,external,https://www.google.com/search?q=megachonk&sxsrf=ALeKk01ltstmXtieqaCRb31OvlO_c0fXxA:1623001076673&source=lnms&tbm=isch&sa=X&ved=2ahUKEwijkZSVxoPxAhXtIjQIHQFxA7MQ_AUoAXoECAEQAw&biw=1920&bih=937#imgrc=imyMeAQrP688kM,"{""megachonk"": 1}",1
36941,89,aight Imma head out,225,244,external,https://www.youtube.com/watch?v=Eu9qaThvv_o,"{""aight Imma head out"": 1}",1
