article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
50343,1,"

",127,129,external,https://static.wikia.nocookie.net/alldimensions/images/c/c2/Rexagloxyverse.jpg/revision/latest?cb=20200312195225,"{""\n\n"": 1}",1
50343,1,Alphasm,195,202,internal,https://alldimensions.fandom.com/wiki/Alphasm,"{""Alphasm"": 1}",1
50343,1,Alphasms,259,267,internal,https://alldimensions.fandom.com/wiki/Alphasm,"{""Alphasms"": 1}",1
50343,1,Alphasms,259,267,internal,https://alldimensions.fandom.com/wiki/Alphasm,"{""Alphasms"": 1}",1
50343,2,verse,13,18,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verse"": 1}",1
50343,3,"was once erased from existence on september 19th, 2020",20,74,internal,https://alldimensions.fandom.com/wiki/Special:Log?logid=18446,"{""was once erased from existence on september 19th, 2020"": 1}",1
50343,4,"they were reutilized in february 6th, 2021",148,190,internal,https://alldimensions.fandom.com/wiki/Alphasm?oldid=96817,"{""they were reutilized in february 6th, 2021"": 1}",1
50343,4,Alphasms,215,223,internal,https://alldimensions.fandom.com/wiki/Alphasm,"{""Alphasms"": 1}",1
50343,13,Betasm,28,34,internal,https://alldimensions.fandom.com/wiki/Betasm,"{""Betasm"": 1}",1
50343,15,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/c/c2/Rexagloxyverse.jpg/revision/latest?cb=20200312195225,"{""\n\n"": 1}",1
