article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
21554,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/a/a6/Scalene.jpg/revision/latest?cb=20200221060404,"{""\n\n"": 1}",1
21554,1,Verseuni,35,43,internal,https://alldimensions.fandom.com/wiki/Verseuni,"{""Verseuni"": 1}",1
21554,1,Oakverse,97,105,internal,https://alldimensions.fandom.com/wiki/Oakverse,"{""Oakverse"": 1}",1
21554,1,Verseuni,35,43,internal,https://alldimensions.fandom.com/wiki/Verseuni,"{""Verseuni"": 1}",1
21554,2,Verseuni,64,72,internal,https://alldimensions.fandom.com/wiki/Verseuni,"{""Verseuni"": 1}",1
21554,2,The dentist,116,127,internal,https://alldimensions.fandom.com/wiki/The_dentist,"{""The dentist"": 1}",1
21554,2,Oakverse,248,256,internal,https://alldimensions.fandom.com/wiki/Oakverse,"{""Oakverse"": 1}",1
21554,2,Daves,330,335,internal,https://alldimensions.fandom.com/wiki/Dave,"{""Daves"": 1}",1
21554,3,Verseuni,39,47,internal,https://alldimensions.fandom.com/wiki/Verseuni,"{""Verseuni"": 1}",1
21554,3,Oakmultiverse,196,209,internal,https://alldimensions.fandom.com/wiki/Oakmultiverse,"{""Oakmultiverse"": 1}",1
21554,3,Verseuni,39,47,internal,https://alldimensions.fandom.com/wiki/Verseuni,"{""Verseuni"": 1}",1
21554,3,R Skull,442,449,internal,https://alldimensions.fandom.com/wiki/R_Skull,"{""R Skull"": 1}",1
21554,5,Verseuni,43,51,internal,https://alldimensions.fandom.com/wiki/Verseuni,"{""Verseuni"": 1}",1
21554,5,Oakverse,195,203,internal,https://alldimensions.fandom.com/wiki/Oakverse,"{""Oakverse"": 1}",1
21554,5,Final Texa,352,362,internal,https://alldimensions.fandom.com/wiki/Final_Texa,"{""Final Texa"": 1}",1
21554,5,Bongus,392,398,internal,https://alldimensions.fandom.com/wiki/Bongus,"{""Bongus"": 1}",1
21554,5,Isosceles,400,409,internal,https://alldimensions.fandom.com/wiki/Isosceles,"{""Isosceles"": 1}",1
