article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
34632,1,BOOD-JAV-VAV,28,40,internal,https://alldimensions.fandom.com/wiki/The_Primordial,"{""BOOD-JAV-VAV"": 1}",1
34632,2,Puffgas,2,9,internal,https://alldimensions.fandom.com/wiki/Puffgas,"{""Puffgas"": 1}",1
34632,2,Primordium Alpha,36,52,internal,https://alldimensions.fandom.com/wiki/Primordium_Alpha,"{""Primordium Alpha"": 1}",1
34632,3,Glitchy,2,9,internal,https://alldimensions.fandom.com/wiki/Glitchy,"{""Glitchy"": 1}",1
34632,4,The Universe Weaver,2,21,internal,https://alldimensions.fandom.com/wiki/The_Universe_Weaver,"{""The Universe Weaver"": 1}",1
34632,5,The Occunulius,2,16,internal,https://alldimensions.fandom.com/wiki/The_Occunulius,"{""The Occunulius"": 1}",1
34632,6,BOOD-ROW-VAV,2,14,internal,https://alldimensions.fandom.com/wiki/BOOD-ROW-VAV,"{""BOOD-ROW-VAV"": 1}",1
34632,6,Primordium Sigma,27,43,internal,https://alldimensions.fandom.com/wiki/Primordium_Sigma,"{""Primordium Sigma"": 1}",1
34632,7,The Devil,2,11,internal,https://alldimensions.fandom.com/wiki/The_Devil,"{""The Devil"": 1}",1
34632,8,The Forgotten God,2,19,internal,https://alldimensions.fandom.com/wiki/The_Forgotten_God,"{""The Forgotten God"": 1}",1
34632,9,BOOD-VOOD-VAV,17,30,internal,https://alldimensions.fandom.com/wiki/BOOD-VOOD-VAV,"{""BOOD-VOOD-VAV"": 1}",1
34632,9,Primordium Omega,43,59,internal,https://alldimensions.fandom.com/wiki/Primordium_Omega,"{""Primordium Omega"": 1}",1
34632,11,The Primordial,2,16,internal,https://alldimensions.fandom.com/wiki/The_Primordial,"{""The Primordial"": 1}",1
34632,11,Primordium Delta,29,45,internal,https://alldimensions.fandom.com/wiki/Primordium_Delta,"{""Primordium Delta"": 1}",1
34632,11,Primordialverse,69,84,internal,https://alldimensions.fandom.com/wiki/Primordialverse,"{""Primordialverse"": 1}",1
34632,12,Primordial,177,187,internal,https://alldimensions.fandom.com/wiki/The_Primordial,"{""Primordial"": 1}",1
