article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
47331,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/9/96/Thank_youverse.png/revision/latest?cb=20191111010142,"{""\n\n"": 1}",1
47331,1,EUSI,106,110,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
47331,1,Finality Index,115,129,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
47331,1,FOEI,136,140,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
47331,1,Universe,232,240,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
47331,1,our Universe,364,376,internal,https://alldimensions.fandom.com/wiki/Our_Universe,"{""our Universe"": 1}",1
47331,2,verse,14,19,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verse"": 1}",1
47331,3,[1],198,201,anchor,https://alldimensions.fandom.com/wiki/All_dimensions_Wiki#cite_note-1,"{""[1]"": 1}",1
47331,4,Universe,71,79,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
47331,4,humans,174,180,internal,https://alldimensions.fandom.com/wiki/Human,"{""humans"": 1}",1
47331,4,[2],286,289,anchor,https://alldimensions.fandom.com/wiki/All_dimensions_Wiki#cite_note-2,"{""[2]"": 1}",1
47331,5,Universe,79,87,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
47331,5,UNI-1,184,189,internal,https://alldimensions.fandom.com/wiki/UNI-1,"{""UNI-1"": 1}",1
