article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
48576,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/1/18/Who%3F.png/revision/latest?cb=20250210002657,"{""\n\n"": 1}",1
48576,1,Humans,63,69,internal,https://alldimensions.fandom.com/wiki/Human,"{""Humans"": 1}",1
48576,1,jerald,312,318,internal,https://alldimensions.fandom.com/wiki/Jerald,"{""jerald"": 1}",1
48576,1,「God」,323,328,internal,https://alldimensions.fandom.com/wiki/%E3%80%8CGod%E3%80%8D,"{""「God」"": 1}",1
48576,3,concept,27,34,internal,https://alldimensions.fandom.com/wiki/Category:Concept,"{""concept"": 1}",1
48576,3,entity,41,47,internal,https://alldimensions.fandom.com/wiki/Category:Cosmic_entity,"{""entity"": 1}",1
48576,3,real life,83,92,internal,https://alldimensions.fandom.com/wiki/Real_life,"{""real life"": 1}",1
48576,3,Jerald,120,126,internal,https://alldimensions.fandom.com/wiki/Jerald,"{""Jerald"": 1}",1
48576,3,「God」,131,136,internal,https://alldimensions.fandom.com/wiki/%E3%80%8CGod%E3%80%8D,"{""「God」"": 1}",1
48576,3,the highest,149,160,internal,https://alldimensions.fandom.com/wiki/Category:End-All-Be-All,"{""the highest"": 1}",1
48576,4,Allsphere,149,158,internal,https://alldimensions.fandom.com/wiki/Allsphere,"{""Allsphere"": 1}",1
48576,4,universe,201,209,internal,https://alldimensions.fandom.com/wiki/Universe,"{""universe"": 1}",1
48576,4,multiverse,211,221,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""multiverse"": 1}",1
48576,4,megaverse,223,232,internal,https://alldimensions.fandom.com/wiki/Megaverse,"{""megaverse"": 1}",1
48576,4,realm,271,276,internal,https://alldimensions.fandom.com/wiki/Realm,"{""realm"": 1}",1
48576,4,ATOM,740,744,internal,https://alldimensions.fandom.com/wiki/Atom,"{""ATOM"": 1}",1
48576,6,The God Rock Paradox 🤯,57,79,external,https://www.youtube.com/watch?v=P9CmLkNygPo,"{""The God Rock Paradox 🤯"": 1}",1
48576,7,god,20,23,internal,https://alldimensions.fandom.com/wiki/Category:God,"{""god"": 1}",1
48576,8,WIP,18,21,internal,https://alldimensions.fandom.com/wiki/Category:WIP,"{""WIP"": 1}",1
48576,9,「God」,141,146,internal,https://alldimensions.fandom.com/wiki/%E3%80%8CGod%E3%80%8D,"{""「God」"": 1}",1
48576,9,「God」,141,146,internal,https://alldimensions.fandom.com/wiki/%E3%80%8CGod%E3%80%8D,"{""「God」"": 1}",1
