article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
36213,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/d/df/The_Absolute_Light.png/revision/latest?cb=20201220125241,"{""\n\n"": 1}",1
36213,1,The Absolute Dark,58,75,internal,https://alldimensions.fandom.com/wiki/The_Absolute_Dark,"{""The Absolute Dark"": 1}",1
36213,1,Capsules,77,85,internal,https://alldimensions.fandom.com/wiki/Capsule,"{""Capsules"": 1}",1
36213,1,The Absolute Colors,97,116,internal,https://alldimensions.fandom.com/wiki/The_Absolute_Colors,"{""The Absolute Colors"": 1}",1
36213,1,LAIF,151,155,internal,https://alldimensions.fandom.com/wiki/LAIF,"{""LAIF"": 1}",1
36213,1,LAIF,151,155,internal,https://alldimensions.fandom.com/wiki/LAIF,"{""LAIF"": 1}",1
36213,1,the Absolute Colors,210,229,internal,https://alldimensions.fandom.com/wiki/The_Absolute_Colors,"{""the Absolute Colors"": 1}",1
36213,1,LAIF,151,155,internal,https://alldimensions.fandom.com/wiki/LAIF,"{""LAIF"": 1}",1
36213,2,Absolute Colors,194,209,internal,https://alldimensions.fandom.com/wiki/The_Absolute_Colors,"{""Absolute Colors"": 1}",1
36213,3,Lockverse,225,234,internal,https://alldimensions.fandom.com/wiki/Lockverse,"{""Lockverse"": 1}",1
