article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
36180,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/7/70/The_Absolute_Octahedron.png/revision/latest?cb=20201219130906,"{""\n\n"": 1}",1
36180,1,The Absolute Cube,63,80,internal,https://alldimensions.fandom.com/wiki/The_Absolute_Cube,"{""The Absolute Cube"": 1}",1
36180,1,The Absolute Balance,92,112,internal,https://alldimensions.fandom.com/wiki/The_Absolute_Balance,"{""The Absolute Balance"": 1}",1
36180,1,LAIF,155,159,internal,https://alldimensions.fandom.com/wiki/LAIF,"{""LAIF"": 1}",1
36180,1,LAIF,155,159,internal,https://alldimensions.fandom.com/wiki/LAIF,"{""LAIF"": 1}",1
36180,1,The Absolute Balance,92,112,internal,https://alldimensions.fandom.com/wiki/The_Absolute_Balance,"{""The Absolute Balance"": 1}",1
36180,1,LAIF,155,159,internal,https://alldimensions.fandom.com/wiki/LAIF,"{""LAIF"": 1}",1
36180,1,The Absolute Cube,63,80,internal,https://alldimensions.fandom.com/wiki/The_Absolute_Cube,"{""The Absolute Cube"": 1}",1
36180,1,Absolute Darks,417,431,internal,https://alldimensions.fandom.com/wiki/The_Absolute_Dark,"{""Absolute Darks"": 1}",1
36180,2,Absolute Balances,38,55,internal,https://alldimensions.fandom.com/wiki/The_Absolute_Balance,"{""Absolute Balances"": 1}",1
36180,3,Shrekium,189,197,external,https://fandomium.fandom.com/wiki/Shrekium,"{""Shrekium"": 1}",1
