article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
33389,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/6/60/Da_branch.png/revision/latest?cb=20200712051112,"{""\n\n"": 1}",1
33389,1,The Tree,50,58,internal,https://alldimensions.fandom.com/wiki/The_Tree,"{""The Tree"": 1}",1
33389,1,The Sap,70,77,internal,https://alldimensions.fandom.com/wiki/The_Sap,"{""The Sap"": 1}",1
33389,1,Bocks chain,79,90,internal,https://alldimensions.fandom.com/wiki/Bocks_chain,"{""Bocks chain"": 1}",1
33389,1,The Tree,50,58,internal,https://alldimensions.fandom.com/wiki/The_Tree,"{""The Tree"": 1}",1
33389,1,ƒ,228,229,internal,https://alldimensions.fandom.com/wiki/The_Absolute_-_%C6%92,"{""ƒ"": 1}",1
33389,1,The Tree,50,58,internal,https://alldimensions.fandom.com/wiki/The_Tree,"{""The Tree"": 1}",1
33389,1,The Tree,50,58,internal,https://alldimensions.fandom.com/wiki/The_Tree,"{""The Tree"": 1}",1
33389,2,The Box,247,254,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
33389,3,The Core of Everything,117,139,internal,https://alldimensions.fandom.com/wiki/The_Core_of_Everything,"{""The Core of Everything"": 1}",1
33389,3,The Sap,270,277,internal,https://alldimensions.fandom.com/wiki/The_Sap,"{""The Sap"": 1}",1
33389,5,The Box,102,109,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
