article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
47960,1,TAE,12,15,internal,https://alldimensions.fandom.com/wiki/The_Absolute_Existence,"{""TAE"": 1}",1
47960,1,The Absolute Existence,86,108,internal,https://alldimensions.fandom.com/wiki/The_Absolute_Existence,"{""The Absolute Existence"": 1}",1
47960,2,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/1/13/Aleph_null.png.jpg/revision/latest?cb=20241208175917,"{""\n\n"": 1}",1
47960,2,The Absolute Existence,122,144,internal,https://alldimensions.fandom.com/wiki/The_Absolute_Existence,"{""The Absolute Existence"": 1}",1
47960,2,The Absolute Existence,122,144,internal,https://alldimensions.fandom.com/wiki/The_Absolute_Existence,"{""The Absolute Existence"": 1}",1
47960,2,The Absolute Existence,122,144,internal,https://alldimensions.fandom.com/wiki/The_Absolute_Existence,"{""The Absolute Existence"": 1}",1
47960,2,Primordial Particles,334,354,internal,https://alldimensions.fandom.com/wiki/Primordial_Particles,"{""Primordial Particles"": 1}",1
47960,2,Blueprint Particles,358,377,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particles,"{""Blueprint Particles"": 1}",1
47960,4,TMoE,25,29,internal,https://alldimensions.fandom.com/wiki/The_Most_of_Everything,"{""TMoE"": 1}",1
47960,4,Bnathverses,84,95,internal,https://alldimensions.fandom.com/wiki/Bnathverse,"{""Bnathverses"": 1}",1
47960,4,TMoE,25,29,internal,https://alldimensions.fandom.com/wiki/The_Most_of_Everything,"{""TMoE"": 1}",1
47960,4,Blueprint Particles,396,415,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particle,"{""Blueprint Particles"": 1}",1
47960,5,Zeron,214,219,internal,https://alldimensions.fandom.com/wiki/Zeron,"{""Zeron"": 1}",1
47960,5,True Nothing,331,343,internal,https://alldimensions.fandom.com/wiki/True_Nothing,"{""True Nothing"": 1}",1
47960,5,Nothing.…,345,354,internal,https://alldimensions.fandom.com/wiki/Nothing......,"{""Nothing.…"": 1}",1
47960,5,Existence Rank,355,369,internal,https://alldimensions.fandom.com/wiki/Existence_Rank,"{""Existence Rank"": 1}",1
47960,5,Nothingest,374,384,internal,https://alldimensions.fandom.com/wiki/Nothingest,"{""Nothingest"": 1}",1
